percent,パー
lamp,ランプ
department,デパートメント
gold,ゴールド
single,シングル
credit,クレジット
shift,シフト
rear,リア
goods,グッズ
relax,リラックス
living,リビング
lease,リース
calcium,カルシウム
grand,グランド
performance,パフォーマンス
hot,ホット
match,マッチ
inflation,インフレーション
eco,エコ
shopping,ショッピング
plate,プレート
auto,オート
database,データーベース
rope,ロープ
column,コラム
lymph,リンパ
straight,ストレート
major,メジャー
go,ゴー
label,ラベル
tag,タグ
mister,ミスター
seven,セブン
tea,ティー
talent,タレ
cancel,キャンセル
macro,マクロ
at,アット
weight,ウエート
zone,ゾーン
stop,ストップ
mask,マスク
rental,レンタル
night,ナイト
fruit,フリュイ
gray,グレイ
lady,レディー
dialogue,ダイアローグ
curve,カーブ
knit,ニット
special,スペ
banana,バナナ
arrange,アレンジ
tent,テント
rival,ライバル
kop,コップ
town,タウン
brush,ブラッシュ
object,オブジェクト
battery,バッテリー
turn,ターン
package,パケ
antenna,アンテナ
filter,フィルター
layout,レイアウト
boss,ボス
font,フォント
rank,ランク
gallery,ギャラリー
order,オーダー
round,ラウンド
writer,ライター
shutter,シャッター
van,ファン
jet,ジェット
lion,ライオン
saint,セント
pause,パウゼ
printer,プリンター
impact,インパクト
doctor,ドク
desk,デスク
jeans,ジーンズ
classic,クラシック
designer,デザイナー
icon,アイコン
or,トーア
fork,フォーク
dessert,デザート
claim,クレーム
scale,スケール
deck,デッキ
motor,モト
necklace,ネックレス
screen,スクリーン
counseling,カウンセリング
position,ポジション
last,ラスト
olive,オリーブ
good,グッド
jump,ジャンプ
pride,プライド
airconditioner,エアコン
mile,マイル
genre,ジャンル
tab,タブ
gate,ゲート
boots,ブーツ
three,スリー
station,ステ
sample,サンプル
vision,ビジョン
pomp,ポンプ
privacy,プライバシー
error,テロル
swing,スイング
demo,デモ
way,ウエー
katholiek,カトリック
junior,ジュニア
cool,クール
pamphlet,パンフ
king,キング
helicopter,ヘリコ
sound,サウンド
kit,キット
display,ディスプレー
ambodia,カボチャ
catch,キャッチ
tube,チューブ
client,クライアント
merican,アメリカン
talk,トーク
register,レジスター
sweet,スイート
symbol,シンボル
veranda,ベランダ
whisky,ウイスキー
cameraman,カメラマン
beach,ビーチ
tower,タワー
venture,ベンチャー
windows,ウィン
scenario,シナリオ
fund,ファンド
guideline,ガイドライン
browser,ブラウザ
mass,マス
journalist,ジャーナリスト
petit,プチ
catalog,カタログ
motif,モチーフ
walking,ウォーキング
spy,スパイ
dial,ダイヤル
happy,ハッピー
floor,フロア
idol,アイドル
herb,ハーブ
street,ストリート
slide,スライド
dragon,ドラゴン
restructuring,リストラクチュアリング
sensor,センサー
sub,サブ
name,ネーム
influenza,インフルエンザ
tempo,テンポ
magic,マジック
ran,ウラン
marathon,マラソン
combination,コンビネーション
pin,ピン
private,プライベート
port,ポート
bonus,ボーナス
spoon,スプーン
champion,チャンピオン
pasta,パスタ
compact,コンパクト
keyboard,キーボード
medal,メダル
botsat,ボサツ
veteran,ベテラン
passport,パスポート
jelly,ゼリー
solo,ソロ
for,フォー
concept,コンセプト
view,ビュー
target,ターゲット
la,ラ
unique,ユニーク
cloth,クロース
rocket,ロケット
call,コール
uro,ユーロ
money,マネー
store,ストア
speaker,スピーカー
pilot,パイロット
stretch,ストレッチ
unit,ユニット
melody,メロ
roll,ロール
chicken,チキン
international,インターナショナル
casual,カジュアル
marketing,マーケティング
gym,ジム
summit,サミット
damage,ダメージ
amino,アミノ
ing,イング
pie,ピエ
recreation,レク
audio,オーディオ
premium,プレミアム
logotype,ロゴタイプ
golden,ゴールデン
handkerchief,ハンカチーフ
necktie,ネクタイ
music,ミュージック
modern,モダン
mother,マザー
local,ローカル
wrap,ラップ
eight,エイト
gun,ガン
hand,ハンド
helper,ヘルパー
slow,スロー
atin,ラテン
water,ウォーター
cola,コーラ
cookie,クッキー
mineral,ミネラル
gap,ギャップ
host,ホスト
hedge,ヘッジ
ace,エース
spray,スプレー
wide,ワイド
dry,ドライ
deologie,イデオロギー
wheel,ホイール
barrier,バリア
wire,ワイヤ
interior,インテリア
calendar,カレンダー
radar,レーダー
terminal,ターミナル
accent,アクセント
west,ウエスト
national,ナショナル
standard,スタンダード
reform,リフォーム
girl,ガール
ink,インク
backup,バックアップ
shoot,シュート
garden,ガーデン
tiger,タイガー
roman,ロマン
drink,ドリンク
half,ハーフ
heel,ヒール
press,プレス
provider,プロバイダー
wagon,ワゴン
accessory,アクセ
analog,アナログ
sky,スカイ
tree,ツリー
leadership,リーダーシップ
pot,ポット
identity,アイデンティティー
sandal,サンダル
total,トータル
mood,ムード
panic,パニック
layer,レイヤー
release,リリース
orchestra,オケ
section,セクション
yogurt,ヨーグルト
command,コマンド
akzin,ワクチン
stadium,スタジアム
tension,テンション
drum,ドラム
pearl,パール
bowl,ボウル
mix,ミックス
desktop,デスクトップ
me,ミー
clean,クリーン
punch,ポンチ
hero,ヒーロー
cap,キャップ
skill,スキル
change,チェンジ
aluminium,ニウム
router,ルーター
essay,エッセー
core,コア
apple,アップル
megabyte,メガバイト
sale,セール
face,フェース
pyramid,ピラミッド
pudding,プディング
recorder,レコーダー
script,スクリプト
meter,メーター
end,エンド
gourmet,グルメ
rain,レーン
dealer,ディーラー
simulation,シミュレーション
violin,バイオリン
com,コム
contents,コンテンツ
jam,ジャム
follow,フォロー
cast,キャスト
bat,バット
piment,ピーマン
royal,ロイヤル
coordinate,コーデ
potato,ポテト
cooler,クーラー
do,ドゥー
beam,ビーム
pizza,ピザ
forum,フォーラム
chimchi,キムチ
powder,パウダー
producer,プロデューサー
stone,ストーン
a,ア
cross,クロス
diagram,ダイヤグラム
pop,ポップ
song,ソング
trend,トレンド
flower,フラワー
profile,プロフ
cholesterol,コレステロール
insulin,インシュリン
natrium,ナトリウム
quiz,クイズ
friend,フレンド
flash,フラッシュ
infrastructure,インフラストラクチャー
sharp,シャープ
sweater,セーター
pitch,ピッチ
silk,シルク
dining,ダイニング
clip,クリップ
sexy,セクシー
coin,コイン
normal,ノーマル
technology,テクノロジー
drug,ドラッグ
pressure,プレッシャー
cushion,クッション
denim,デニム
maintenance,メンテ
wordprocessor,ワープロ
trade,トレード
queen,クイーン
pre,プレ
made,メード
regular,レギュラー
angel,エンジェル
symposium,シンポ
law,ロー
terrace,テラス
baton,バトン
bacon,ベーコン
sandwich,サンド
battle,バトル
cleaning,クリーニング
four,フール
rehabilitation,リハ
ndian,インディアン
score,スコア
visa,ビザ
festival,フェス
spaghetti,スパゲッティ
graphic,グラフィック
hello,ハロー
is,イズ
ava,アバ
kick,キック
coco,ココ
knock,ノック
patrol,パトロール
variety,バラエティー
comic,コミック
deflation,デフレーション
zoom,ズーム
announcer,アナ
gigabyte,ギガバイト
mystery,ミステリー
request,リクエスト
format,フォーマット
mission,ミッション
ten,テン
bucket,バケツ
academy,アカデミー
tissue,ティッシュ
nuance,ニュアンス
beads,ビーズ
rally,ラリー
pallet,パレット
plant,プラント
amateur,アマ
drag,ドラッグ
be,ビー
bridge,ブリッジ
license,ライセンス
consultant,コンサル
tile,タイル
volley,バレー
mobile,モビール
apron,エプロン
chat,チャット
blouse,ブラウス
break,ブレーク
method,メソッド
magazine,マガジン
guerrilla,ゲリラ
trunk,トランク
ferry,フェリー
yoga,ヨーガ
natural,ナチュラル
variation,バリアシオン
concours,コンクール
vector,ベクトル
penis,ペニ
modem,モデム
rail,レール
counselor,カウンセラー
bay,ベイ
enaissance,ルネサンス
diesel,ディーゼル
express,エクスプレス
rush,ラッシュ
review,レビュー
fond,フォン
silhouette,シルエット
romantic,ロマンチック
direct,ダイレクト
try,トライ
contest,コンテスト
slice,スライス
neck,ネック
are,アー
smart,スマート
captain,キャプテン
walk,ウォーク
dressing,ドレッシング
hightechnology,ハイテク
par,パー
lettuce,レタス
device,デバイス
document,ドキュメント
loop,ループ
non,ノン
arch,アーチ
gay,ゲイ
relay,リレー
circuit,サーキット
tone,トーン
entry,エントリー
packet,パケ
culture,カルチャー
company,コンパ
dart,ダート
sketch,スケッチ
mania,マニア
worker,ワーカー
director,ディレクター
demerit,デメリット
domain,ドメイン
close,クローズ
chef,シェフ
noise,ノイズ
hip,ヒップ
steak,ステーキ
stove,ストーブ
patrolcar,パトカー
ultra,ウルトラ
leisure,レジャー
answer,アンサー
pod,ポッド
strap,ストラップ
bath,バス
watch,ウォッチ
keep,キープ
account,アカウント
dinner,ディナー
dog,ドッグ
max,マックス
sponge,スポンジ
fur,ファー
eatles,ビートル
melon,メロン
sewingmachine,ミシン
less,レス
sponsor,スポンサー
dock,ドック
liver,レバー
supporter,サポーター
college,カレッジ
sector,セク
self,セルフ
grip,グリップ
wave,ウエーブ
terrorist,テロリスト
location,ロケーション
meeting,ミーティング
container,コンテナ
dream,ドリーム
navigation,ナビゲーション
week,ウイーク
musician,ミュージシャン
hamburg,ハンバーグ
yacht,ヨット
spec,スペック
jungle,ジャングル
pistol,ピストル
rench,フレンチ
plug,プラグ
runner,ランナー
parade,パレード
moral,モラル
mall,モール
stick,ステッキ
sonata,ソナタ
taste,テースト
loss,ロス
autobicycle,オートバイ
sales,セールス
anti,アンチ
yellow,イエロー
information,インフォメーション
cocktail,カクテル
corn,コーン
trick,トリック
through,スルー
drop,ドロップ
alkali,アルカリ
veil,ベール
hawk,ホーク
journalism,ジャーナリズム
aura,オーラ
cart,カート
snack,スナック
sausage,ソーセージ
return,リターン
under,アンダー
coil,コイル
dark,ダーク
pajamas,パジャマ
pinta,ピン
marine,マリネ
complex,コンプレックス
dot,ドット
personal,パーソナル
flat,フラット
header,ヘッダー
slot,スロット
ballet,バレエ
science,サイエンス
hill,ヒル
fair,フェア
homo,ホモ
hristao,キリシタン
count,カウント
bolt,ボルト
aesthetic,エステ
professionalwrestling,プロレス
mirror,ミラー
atelier,アトリエ
socks,ソックス
little,リトル
caramel,キャラメル
musical,ミュージカル
glove,グローブ
old,オールド
heroine,ヒロイン
vocal,ボーカル
rare,レア
ozone,オゾン
adult,アダルト
gear,ギヤ
task,タスク
outlook,アウトルック
alibi,アリバイ
summer,サマー
cassette,カセット
unday,サンデー
stance,スタンス
hoos,ホース
yard,ヤード
senior,シニア
pad,パット
extract,エクストラクト
carbon,カーボン
nationalism,ナショナリズム
leather,レザー
stew,シチュー
kid,キッド
steel,スチール
dioxin,ダイオキシン
helmet,ヘル
active,アクティブ
speech,スピーチ
tournament,トーナメント
public,パブリック
right,ライト
refresh,リフレッシュ
lock,ロック
pinch,ピンチ
protocol,プロトコル
basic,ベーシック
cute,キュート
square,スコヤ
pedal,ペダル
roentgen,レントゲン
scan,スキャン
ay,メイ
metal,メタル
dynamic,ダイナミック
megahertz,メガヘルツ
stamp,スタンプ
basket,バスケット
letter,レッテル
han,ハン
reflex,レフレックス
assessment,アセスメント
cosmos,コスモス
movie,ムービー
entertainment,エンタメ
bulb,バルブ
parameter,パラメーター
skate,スケート
pumps,パンプス
research,リサーチ
grade,グレード
slogan,スローガン
neuron,ニューロン
pulse,パルス
monitoring,モニタリング
rugby,ラグビー
rich,リッチ
gamble,ギャンブル
twin,ツイン
fit,フィット
sneaker,スニーカー
spa,スパ
curriculum,カリキュラム
pitcher,ピッチャー
commercial,コマーシャル
sea,シー
deep,ディープ
punk,パンク
fire,ファイア
cat,キャット
etcetra,エトセトラ
pea,ピー
explorer,エクスプローラー
nurse,ナース
circus,サーカス
champagne,シャンパン
feedback,フィードバック
portfolio,ポートフォリオ
canvas,キャンバス
panda,パンダ
uniform,ユニホーム
running,ランニング
gel,ジェル
stainless,ステンレス
paint,ペイント
country,カントリー
businessman,ビジネスマン
preview,プレビュー
positive,ポジティブ
year,イヤー
scandal,スキャンダル
spring,スプリング
nail,ネール
tie,タイ
think,シンク
health,ヘルス
gender,ジェンダー
negative,ネガティブ
fantasy,ファンタジー
monster,モンスター
heater,ヒーター
phrase,フレーズ
supplement,サプリ
locker,ロッカー
wood,ウッド
parsley,パセリ
figure,フィギュア
porch,ポーチ
lift,リフト
homeless,ホームレス
mascara,マスカラ
flight,フライト
setting,セッティング
prince,プリンス
wing,ウイング
coupdtat,クーデター
indu,ヒンドゥー
broccoli,ブロッコリー
wear,ウエア
spin,スピン
hat,ハット
assistant,アシスタント
agent,エージェント
timely,タイムリー
topic,トピック
eve,イブ
custom,カスタム
five,ファイブ
young,ヤング
instant,インスタント
tray,トレー
hunter,ハンター
rentacar,レンタカー
carpet,カーペット
grounder,グラウンダー
minor,マイナー
iron,アイアン
garage,ガレージ
age,ラーゲ
ankee,ヤンキー
library,ライブラリー
timer,タイマー
alphabet,アルファベット
stay,ステー
knob,ノブ
ont,モン
scarf,スカーフ
toast,トースト
mental,メンタル
capital,キャピタル
coordinator,コーディネーター
trans,トランス
drill,ドリル
vanilla,バニラ
tail,テール
youth,ユース
diving,ダイビング
wax,ワックス
echo,エコー
chorus,コーラス
tune,チューン
volleyball,バレーボール
franc,フラン
berry,ベリー
cursor,カーソル
pickup,ピックアップ
with,ウィズ
select,セレクト
from,フロム
spice,スパイス
visual,ビジュ
module,モジュール
earth,アース
cotton,コットン
hostess,ホステス
lip,リップ
atopy,アトピー
eleven,イレブン
bourgeois,ブルジョア
mega,メガ
manteau,マント
six,シックス
session,セッション
colorful,カラフル
hiking,ハイキング
rs,ミセス
morning,モーニング
croquette,コロッケ
ksana,セツナ
booth,ブース
les,レ
asphalt,アスファルト
quality,クオリティー
shaft,シャフト
paste,ペースト
workshop,ワークショップ
cutter,カッター
theater,シアター
pek,ペンキ
apsel,カプセル
taboo,タブー
attack,アタック
spectre,スペクトル
ris,リ
war,ウォー
bodhi,ボダイ
pole,ポール
marker,マーカー
lounge,ラウンジ
antique,アンティーク
dash,ダッシュ
telephone,テレホン
hardware,ハードウェア
floppy,フロッピー
pointer,ポインター
talian,イタリアン
cocoa,ココア
roots,ルーツ
wizard,ウィザード
permanentwave,パーマ
rheumatism,リューマチ
adapter,アダプター
enom,ゲノム
chic,シック
boxing,ボクシング
crystal,クリスタル
madam,マダム
museum,ミュージアム
rook,ルーク
clutch,クラッチ
turbo,ターボ
recording,レコーディング
contrast,コントラスト
final,ファイナル
bull,ブル
production,プロ
presentation,プレゼン
arm,アーム
wedding,ウエディング
puzzle,パズル
signal,シグナル
choice,チョイス
directory,ディレクトリー
torque,トルク
popular,ポピュラー
messenger,メッセンジャー
condition,コンディション
silicon,シリコン
football,フットボール
fresh,フレッシュ
handicap,ハンディキャップ
hook,ホック
universal,ユニバーサル
announce,アナウンス
after,アフター
arte,カルテ
engineer,エンジニア
blend,ブレンド
stitch,ステッチ
bond,ボンド
innovation,イノベーション
samadhi,サンマイ
tulip,チューリップ
programming,プログラミング
malaria,マラリア
pill,ピル
rotestant,プロテスタント
shell,シェル
pianist,ピアニスト
fence,フェンス
watt,ワット
skin,スキン
stylist,スタイリスト
touring,ツーリング
hristian,クリスチャン
consent,コンセント
not,ノット
highway,ハイウエー
hamburger,ハンバーガー
nine,ナイン
polo,ポロ
orgao,オルガン
trainer,トレーナー
candy,キャンデー
produce,プロデュース
aze,ガーゼ
shadow,シャドー
scout,スカウト
platform,ホーム
mesh,メッシュ
incentive,インセンティブ
condom,コンドーム
synapse,シナプス
tuner,チューナー
index,インデックス
charisma,カリスマ
stroke,ストローク
cement,セメント
putt,パット
phone,フォーン
wild,ワイルド
cherry,チェリー
beat,ビート
rough,ラフ
rifle,ライフル
dancer,ダンサー
mind,マインド
lineup,ラインアップ
initiative,イニシア
candle,キャンドル
clone,クローン
documentary,ドキュメンタリー
buster,バスター
poly,ポリ
caster,キャスター
healthy,ヘルシー
nanie,オナニー
jersey,ジャージー
have,ハブ
batter,バッター
blanc,ブラン
arena,アリーナ
ending,エンディング
gag,ギャグ
hamster,ハムスター
ketchup,ケチャップ
snap,スナップ
slim,スリム
honey,ハニー
plasma,プラズマ
holder,ホルダー
inner,インナー
only,オンリー
jogging,ジョギング
soap,ソープ
praina,ハンニャ
kalium,カリウム
serve,サーブ
stereo,ステレオ
suitcase,スーツケース
middle,ミドル
coca,コカ
stalker,ストーカー
outdoor,アウトドア
wall,ウォール
blueberry,ブルーベリー
bowling,ボウリング
attraction,アトラク
state,ステート
detail,ディテール
hammer,ハンマー
reporter,レポーター
hearing,ヒアリング
afia,マフィア
bypass,バイパス
force,フォース
will,ウイル
stocking,ストッキング
mint,ミント
lag,ラグ
adviser,アドバイザー
globalization,グローバリゼーション
consulting,コンサルティング
consensus,コンセンサス
come,カム
celery,セロリ
almond,アーモンド
plutonium,プルトニウム
jar,ジャー
slipper,スリッパ
brother,ブラザー
border,ボーダー
ark,アーク
sauna,サウナ
cent,セント
child,チャイルド
siren,サイレン
ienna,ビエナ
tuning,チューニング
pornography,ポルノ
gal,ガル
classmate,クラスメート
third,サード
foundation,ファンデ
essence,エッセンス
stripe,ストライプ
north,ノース
push,プッシュ
grandprix,グランプリ
nylon,ナイロン
beef,ビーフ
slip,スリップ
bracelet,ブレス
cook,クック
human,ヒューマン
uslim,ムスリム
liner,ライナー
luna,ルナ
acryl,アクリル
cruz,クルス
suspension,サス
doughnut,ドーナツ
neon,ネオン
micrometer,マイクロメーター
mirra,ミイラ
combo,コンボ
pit,ピット
lot,ロット
guidebook,ガイドブック
missa,ミサ
mosaic,モザイク
chief,チーフ
death,デス
bird,バード
romance,ロマンス
wool,ウール
cutlet,カツレツ
parka,パーカ
pull,プル
lure,ルアー
well,ウェル
harmony,ハーモニー
flute,フルート
working,ワーキング
festa,フェスタ
brandy,ブランデー
magnesium,マグネシウム
retro,レトロ
angle,アングル
neo,ネオ
lavender,ラベンダー
hurdle,ハードル
multimedia,マルチメディア
river,リバー
rape,レイプ
egg,エッグ
climax,クライマックス
shuttle,シャトル
brandpunt,ピント
exercise,エクサ
supermarket,スーパーマーケット
heavy,ヘビー
renewal,リニューアル
cooling,クーリング
supply,サプライ
syndrome,シンドローム
propeller,プロペラ
status,ステ
naming,ネーミング
elegant,エレガント
quick,クイック
cooking,クッキング
gorilla,ゴリラ
horror,ホラー
mixer,ミキサー
equal,イコール
east,イースト
othic,ゴジ
sailor,セーラー
now,ナウ
handsome,ハンサム
badge,バッジ
win,ウィン
peanuts,ピーナッツ
segment,セグメント
bikini,ビキニ
factor,ファクター
anchor,アンカー
smile,スマイル
azi,ナチ
brown,ブラウン
craft,クラフト
closet,クロゼット
collector,コレクター
balcony,バルコニー
heat,ヒート
bottom,ボトム
rehearsal,リハ
roux,ルー
crew,クルー
gauge,ゲージ
gorgeous,ゴージャス
situation,シチュエーション
sexual,セクシャル
knee,ニー
illumination,イルミネーション
sack,サック
journal,ジャーナル
styling,スタイリング
treatment,トリートメント
edge,エッジ
golfer,ゴルファー
partition,パーティション
rye,ライ
waitress,ウエートレス
canoe,カヌー
defense,ディフェンス
trump,トランプ
penalty,ペナルティー
magma,マグマ
editor,エディター
cruise,クルーズ
pierrot,ピエロ
pivot,ピボット
loose,ルーズ
artell,カルテル
facsimile,ファクシミリ
crown,クラウン
save,セーブ
reset,リセット
erotic,エロチック
slum,スラム
headlight,ヘッドライト
update,アップデート
oolong,ウーロン
steering,ステアリング
trust,トラスト
paradigm,パラダイム
pixel,ピクセル
moon,ムーン
safe,セーフ
soda,ソーダ
panorama,パノラマ
policy,ポリシー
mug,マグ
gigahertz,ギガヘルツ
draft,ドラ
retire,リタイア
curl,カール
granulated,グラニュー
safety,セーフティー
softball,ソフトボール
itan,チタン
hybrid,ハイブリッド
must,マスト
oasis,オアシス
casino,カジノ
spike,スパイク
tarte,タルト
fiction,フィクション
ware,ウェア
jumper,ジャンパー
central,セントラル
value,バリュー
finder,ファインダー
penguin,ペンギン
roast,ロースト
sister,シスター
singer,シンガー
farm,ファーム
cardigan,カーデ
gain,ゲイン
topping,トッピング
piston,ピストン
sampling,サンプリング
chou,シュー
chime,チャイム
person,パーソン
fast,ファースト
professional,プロフェッショナル
propose,プロポーズ
look,ルック
ammonia,アンモニア
train,トレーン
yell,エール
napkin,ナプキン
finance,ファイナンス
mousse,ムース
escalate,エスカレート
query,クエリー
ranger,レンジャー
loft,ロフト
official,オフィシャル
cosmetic,コスメチック
salesman,セールスマン
hazard,ハザード
blow,ブロー
product,プロダクト
meta,メタ
vodka,ウォッカ
promotion,プロモーション
condenser,コンデンサー
compliance,コンプライアンス
snow,スノー
default,デフォ
plain,プレーン
guts,ガッツ
salmon,サーモン
rucksack,リュックサック
encore,アンコール
intelligentsiya,インテリゲンチャ
cluster,クラスター
eep,ジープ
basketball,バスケ
payoff,ペイオフ
liberal,リベラル
iking,バイキング
bust,バスト
virtual,バーチャル
mountain,マウンテン
remote,リモート
shoulder,ショルダー
charity,チャリティー
trauma,トラウマ
fight,ファイト
grill,グリル
coaster,コースター
pound,ポンド
lotion,ローション
gang,ギャング
collagen,コラゲ
ship,シップ
