quinto,クイント
﻿afternoon dress,アフタヌーンドレス
﻿aflatoxin,アフラトキシン
﻿Afrikaans,アフリカーンス
﻿Afro,アフロ
﻿absinthe,アブサン
﻿abstraction,アブストラクション
﻿absolutism,アブソリューティズム
﻿abnormal,アブノーマル
﻿abseiling,アプザイレン
﻿a priori,アプリオリ
﻿application,アプリケーション
﻿application program,アプリケーションプログラム
﻿apricot,アプリコット
﻿approach,アプローチ
﻿approach shot,アプローチショット
﻿approach light,アプローチライト
﻿ahead,アヘッド
﻿availability,アベイラビリティ
﻿avenue,アベニュー
﻿average,アベレージ
﻿average golfer,アベレージゴルファー
﻿appetizer,アペタイザー
﻿aperitif,アペリティフ
﻿append,アペンド
﻿axolotl,アホロートル
﻿abort,アボート
﻿avocado,アボカド
﻿aborigine,アボリジニ
﻿appointment system,アポインテシステム
﻿appointment system,アポインテメントシステム
﻿appointment,アポイント
﻿appointment,アポイントメント
﻿Apochromat,アポクロマート
﻿a posteriori,アポステリオリ
﻿apostrophe,アポストロフィ
﻿amateur,アマ
﻿amateur,アマチュア
﻿amateurism,アマチュアリズム
﻿amalgam,アマルガム
﻿amusement,アミューズメント
﻿amusement center,アミューズメントセンター
﻿amylase,アミラーゼ
﻿Amtrak,アムトラック
﻿amnesty,アムネスティ
﻿amoeba,アメーバ
﻿amethyst,アメシスト
﻿Ameslan,アメスラン
﻿amenity,アメニティー
﻿American football,アメフト
﻿American rugby,アメラグ
﻿Americanize,アメリカナイズ
﻿Americanism,アメリカニズム
﻿American,アメリカン
﻿American football,アメリカンフットボール
﻿American plan,アメリカンプラン
﻿American League,アメリカンリーグ
﻿amorphous,アモルファス
﻿Ayatollah,アヤトラ
﻿Allah,アラー
﻿alarm,アラーム
﻿alliance,アライアンス
﻿alignment,アラインメント
﻿around,アラウンド
﻿a la carte,アラカルト
﻿Arabian light,アラビアンライト
﻿Arab,アラブ
﻿arabesque,アラベスク
﻿a la mode,アラモード
﻿arena,アリーナ
﻿aria,アリア
﻿alligator,アリゲーター
﻿aristocracy,アリストクラシー
﻿aristocrat,アリストクラット
﻿American league,アリッグ
﻿alibi,アリバイ
﻿archaism,アルカイズム
﻿archaic,アルカイック
﻿arcadia,アルカディア
﻿alkali,アルカリ
﻿alkalosis,アルカローシス
﻿alkaloid,アルカロイド
﻿alcove,アルコーブ
﻿alcohol,アルコール
﻿algorithmic,アルゴリズミック
﻿algorithm,アルゴリズム
﻿ars amatoria,アルスアマトリア
﻿artisan,アルチザン
﻿aldehyde,アルデヒド
﻿alto,アルト
﻿albatross,アルバトロス
﻿album,アルバム
﻿alpine,アルパイン
﻿alpaca,アルパカ
﻿albino,アルビノ
﻿alpinist,アルピニスト
﻿alpinism,アルピニズム
﻿alphabet,アルファベット
﻿albumin,アルブミン
﻿alps,アルプス
﻿arpeggio,アルペジオ
﻿armadillo,アルマジロ
﻿almanac,アルマナック
﻿armagnac,アルマニャック
﻿alumina,アルミナ
﻿array,アレイ
﻿alexandrite,アレキサンドライト
﻿allegretto,アレグレット
﻿allegro,アレグロ
﻿allegory,アレゴリー
﻿allergy,アレルギー
﻿to arrange,アレンジ
﻿arrangement,アレンジメント
﻿arranger,アレンジャー
﻿aloe,アロエ
﻿allocation,アロケーション
﻿allocate,アロケート
﻿aloha,アロハ
﻿aloha shirt,アロハシャツ
﻿anchor,アンカー
﻿anchorman,アンカーマン
﻿anklet,アンクレット
﻿underground money,アングラマネー
﻿angle,アングル
﻿encore,アンコール
﻿encore hour,アンコールアワー
﻿answer phone,アンサホン
﻿ensemble,アンサンブル
﻿angelus,アンジェラス
﻿undulation,アンジュレーション
﻿anthology,アンソロジー
﻿untied loan,アンタイドローン
﻿antagonism,アンタゴニズム
﻿untouchable,アンタッチャブル
﻿under,アンダー
﻿underwear,アンダーウェア
﻿underground,アンダーグラウンド
﻿undercoat,アンダーコート
﻿undershirt,アンダーシャツ
﻿underskill,アンダースキル
﻿underscore,アンダースコア
﻿underhand throw,アンダーハンドスロー
﻿under par,アンダーパー
﻿underproof,アンダープルーフ
﻿underplot,アンダープロット
﻿underline,アンダーライン
﻿andantino,アンダンティーノ
﻿andante cantabile,アンダンテカンタービレ
﻿antique fashion,アンチークファッション
﻿antithesis,アンチテーゼ
﻿antiknock,アンチノック
﻿antinomy,アンチノミー
﻿antifeminism,アンチフェミニズム
﻿antifreeze,アンチフリーズ
﻿antimagnetic,アンチマグネチック
﻿anchovy,アンチョビー
﻿antique,アンティーク
﻿antenna,アンテナ
﻿antonym,アントニム
﻿entree,アントレ
﻿android,アンドロイド
﻿unhappy,アンハッピー
﻿amber,アンバー
﻿ambassador,アンバサダー
﻿unbalanced,アンバランス
﻿unparser,アンパーザー
﻿umpire,アンパイア
﻿ambiance,アンビアンス
﻿ambivalence,アンビバレンス
﻿enfants terribles,アンファンテリブル
﻿unfair,アンフェア
﻿amphetamine,アンフェタミン
﻿umbrella cut,アンブレラカット
﻿amp,アンプ
﻿amplifier,アンプリファイアー
﻿ampoule,アンプル
﻿unplayable,アンプレイアブル
﻿impromptu,アンプロンプチュ
﻿ampere,アンペア
﻿ammonite,アンモナイト
﻿ammonia,アンモニア
﻿unmoral,アンモラル
﻿unlucky,アンラッキー
﻿unlock,アンロック
﻿ether,イーサ
﻿Ethernet,イーサネット
﻿easy order,イージーオーダー
﻿easy listening music,イージーリスニング
﻿easy listening music,イージーリスニングミュージック
﻿Easter,イースター
﻿Eastern League,イースタンリーグ
﻿east,イースト
﻿East End,イーストエンド
﻿East Coast,イーストコースト
﻿East Side,イーストサイド
﻿easel,イーゼル
﻿even,イーブン
﻿even par,イーブンパー
﻿Jesus,イエス
﻿Jesus Christ,イエスキリスト
﻿yellow,イエロー
﻿yellow journalism,イエロージャーナリズム
﻿yellow zone,イエローゾーン
﻿Yellow Book,イエローブック
﻿yellow press,イエロープレス
﻿yellow paper,イエローペーパー
﻿ion,イオン
﻿ion rocket,イオンロケット
﻿equipment,イクイップメント
﻿iguana,イグアナ
﻿ignition key,イグニッションキー
﻿igloo,イグルー
﻿equal opportunity,イコールオポチューニティー
﻿equal partner,イコールパートナー
﻿iconography,イコノグラフィー
﻿equalizer,イコライザ
﻿Istanbul,イスタンブール
﻿Israel,イスラエル
﻿Islam,イスラム
﻿Italian cut,イタリアンカット
﻿Italian coffee,イタリアンコーヒー
﻿italic,イタリック
﻿itch,イッチ
﻿Yippie,イッピー
﻿idea,イデー
﻿idiom,イディオム
﻿ideologue,イデオローグ
﻿ideology,イデオロギー
﻿id,イド
﻿initiative,イニシアチブ
﻿initiation,イニシエーション
﻿initiator,イニシエータ
﻿initialize,イニシャライズ
﻿initial,イニシャル
﻿inning,イニング
﻿innocence,イノセンス
﻿innocent,イノセント
﻿innovation,イノベーション
﻿evening,イブニング
﻿evening dress,イブニングドレス
﻿event,イベント
﻿emergency,イマージェンシー
﻿imagineering,イマジニアリング
﻿imagination,イマジネーション
﻿immigration,イミグレーション
﻿imitation,イミテーション
﻿immediate,イミディエイト
﻿image character,イメージキャラクター
﻿image survey,イメージサーベイ
﻿image change,イメージチェンジ
﻿image maker,イメージメーカー
﻿image research,イメージリサーチ
﻿yearbook,イヤーブック
﻿ear protector,イヤプロテクター
﻿earphone,イヤホン
﻿earmark,イヤマーク
﻿earring,イヤリング
﻿Iraq,イラク
﻿irrational,イラショナル
﻿illustration,イラスト
﻿illustrated map,イラストマップ
﻿illustration,イラストレーション
﻿illustrator,イラストレーター
﻿illegal,イリーガル
﻿Illinois,イリノイ
﻿illusion,イリュージョン
﻿illumination,イリュミネイション
﻿illusion,イルージョン
﻿illumination,イルミネーション
﻿eraser,イレーザー
﻿irregular,イレギュラー
﻿eleven,イレブン
﻿eleven nines,イレブンナイン
﻿Iroquois,イロコイ
﻿in,イン
﻿income,インカム
﻿income gain,インカムゲイン
﻿income tax,インカムタックス
﻿incubation,インキュベーション
﻿incubator,インキュベータ
﻿incubate,インキュベート
﻿ink,インク
﻿incremental,インクリメンタル
﻿increment,インクリメント
﻿include,インクルード
﻿England,イングランド
﻿English breakfast,イングリッシュブレックファースト
﻿ingot,インゴット
﻿insert,インサート
﻿insider,インサイダー
﻿inside story,インサイドストーリー
﻿inside baseball,インサイドベースボール
﻿inside belt,インサイドベルト
﻿inside report,インサイドレポート
﻿inside work,インサイドワーク
﻿in the hole,インザホール
﻿incident,インシデント
﻿inshoot,インシュート
﻿insurance,インシュアランス
﻿insularity,インシュラリティー
﻿insulin,インスリン
﻿insulation,インシュレーション
﻿injection,インジェクション
﻿injector,インジェクター
﻿indicator,インジケータ
﻿indigo,インジゴ
﻿Instamatic camera,インスタマチックカメラ
﻿instance,インスタンス
﻿instant,インスタント
﻿institution,インスティテューション
﻿instinct,インスティンクト
﻿instant,インスト
﻿installer,インストーラ
﻿install,インストール
﻿installment,インストールメント
﻿instruction,インストラクション
﻿instructor,インストラクター
﻿inspiration,インスピレーション
﻿inspection,インスペクション
﻿inspector,インスペクター
﻿insecurity,インセキュリティー
﻿incest,インセスト
﻿incense,インセンス
﻿incentive,インセンティブ
﻿incentive sale,インセンティブセール
﻿insole,インソール
﻿interchange,インター
﻿interoperability,インターオペラビリティー
﻿intercut,インターカット
﻿intercourse,インターコース
﻿interceptor,インターセプター
﻿inter seminar,インターゼミ
﻿inter seminar,インターゼミナール
﻿interchange,インターチェンジ
﻿international,インターナショナル
﻿International Baccalaureat,インターナショナルバカロレア
﻿internationalism,インターナションアリズム
﻿the Internet,インターネット
﻿internetworking,インターネットワーキング
﻿internetwork,インターネットワーク
﻿inter high school,インターハイ
﻿interval,インターバル
﻿interval training,インターバルトレーニング
﻿interface,インターフェース
﻿interfere,インターフェア
﻿interference,インターフェアランス
﻿interferon,インターフェロン
﻿intercom,インターフォン
﻿interpreter,インタープリタ
﻿Interpol,インターポール
﻿interrupt,インターラプト
﻿interleave,インターリーブ
﻿intern,インターン
﻿intercept,インタセプト
﻿interviewer,インタビュアー
﻿interpreter,インタプリタ
﻿interpretive,インタプリティブ
﻿interpret,インタプリト
﻿interaction,インタラクション
﻿interactive,インタラクティブ
﻿interrupt,インタラプト
﻿interest,インタレスト
﻿indirect,インダイレクト
﻿induction,インダクション
﻿industry,インダストリー
﻿industrial,インダストリアル
﻿industrial engineering,インダストリアルエンジニアリング
﻿industrial designer,インダストリアルデザイナー
﻿industrial design,インダストリアルデザイン
﻿Inturist,インツーリスト
﻿integration,インテグレーション
﻿integrated,インテグレーテット
﻿integrate,インテグレート
﻿integer,インテジャ
﻿interior,インテリア
﻿interior adviser,インテリアアドバイサー
﻿interior craft,インテリアクラフト
﻿interior coordinator,インテリアコーディネーター
﻿interior designer,インテリアデザイナー
﻿interior design,インテリアデザイン
﻿intelligentsia,インテリゲンチャ
﻿intelligence,インテリジェンス
﻿intelligence service,インテリジェンスサービス
﻿intelligence test,インテリジェンステスト
﻿intelligent,インテリジェント
﻿intelligent city,インテリジェントシティー
﻿intelligent terminal,インテリジェントターミナル
﻿intelligent building,インテリジェントビル
﻿intellectual,インテルクチュアル
﻿Intelsat,インテルサット
﻿intensity,インテンシティ
﻿intensive,インテンシブ
﻿intentional,インテンショナル
﻿Indiana,インディアナ
﻿India paper,インディアペーパー
﻿Indian,インディアン
﻿Indian summer,インディアンサマー
﻿individualist,インディビジュアリスト
﻿individualism,インディビジュアリズム
﻿individual,インディビジュアル
﻿independent,インディペンデント
﻿indexing,インデキシング
﻿indexation,インデクセーション
﻿index,インデックス
﻿index fund,インデックスファンド
﻿indentation,インデンテーション
﻿indent,インデント
﻿intonation,イントネーション
﻿intro,イントロ
﻿introduction,イントロダクション
﻿indoor,インドア
﻿indoor game,インドアゲーム
﻿indoor sports,インドアスポーツ
﻿Indonesia,インドネシア
﻿inner space,インナースペース
﻿inner trip,インナートリップ
﻿inner venture,インナーベンチャー
﻿inner life,インナーライフ
﻿in high,インハイ
﻿inverse,インバース
﻿inverter,インバーター
﻿Inverness,インバネス
﻿imbalance,インバランス
﻿impact,インパクト
﻿impact loan,インパクトローン
﻿instrument panel,インパネ
﻿impulse,インパルス
﻿invisible,インビジブル
﻿invisible risk,インビジブルリスク
﻿invitation,インビテーション
﻿impedance,インピーダンス
﻿infield fly,インフィールドフライ
﻿inferiority complex,インフェリオリティーコンプレックス
﻿inferno,インフェルノ
﻿information,インフォ
﻿informer,インフォーマー
﻿informal,インフォーマル
﻿informal organization,インフォーマルオーガニゼーション
﻿informal dress,インフォーマルドレス
﻿information,インフォメーション
﻿information analyst,インフォメーションアナリスト
﻿information gap,インフォメーションギャプ
﻿information science,インフォメーションサイエンス
﻿information system,インフォメーションシステム
﻿information syndicate,インフォメーションシンジケート
﻿information theory,インフォメーションセオリー
﻿information society,インフォメーションソサイエティー
﻿information disclosure,インフォメーションディスクロージャー
﻿information democracy,インフォメーションデモクラシー
﻿information broker,インフォメーションブローカー
﻿information processor,インフォメーションプロセッサー
﻿information processing,インフォメーションプロセッシング
﻿information provider,インフォメーションプロバイダー
﻿information utility,インフォメーションユーティリティー
﻿information literacy,インフォメーションリテラシー
﻿information retrieval,インフォメーションリトリーバル
﻿information revolution,インフォメーションレボリューション
﻿infrastructure,インフラストラクチャー
﻿influenza,インフルエンザ
﻿influenza virus,インフルエンザウイルス
﻿influence,インフルエンス
﻿inflation,インフレーション
﻿input,インプット
﻿implication,インプリケーション
﻿implementor,インプリメンタ
﻿implementation,インプリメンテーション
﻿implement,インプリメント
﻿impressive,インプレッシブ
﻿impression,インプレッション
﻿implement,インプレメント
﻿improvisation,インプロビゼーション
﻿inheritance,インヘリタンス
﻿invader,インベーダー
﻿investment counselor,インベステメントカウンセラー
﻿investment bank,インベステメントバンク
﻿investment,インベストメント
﻿investment analyst,インベストメントアナリスト
﻿invention,インベンション
﻿inventory,インベントリー
﻿inventory cycles,インベントリーサイクル
﻿inventory finance,インベントリーファイナンス
﻿inventory recovery,インベントリーリカバリー
﻿inventory recession,インベントリーリセッション
﻿impedance,インペーダンス
﻿imperial,インペリアル
﻿invoice,インボイス
﻿involve,インボルブ
﻿impotence,インポ
﻿important,インポータント
﻿import,インポート
﻿impossible,インポシブル
﻿impotence,インポテンス
﻿inverse,インヴァース
﻿invariant,インヴァリアント
﻿invention,インヴェンション
﻿invoice,インヴォイス
﻿woofer,ウーファー
﻿woman,ウーマン
﻿woman hunter,ウーマンハンター
﻿woman power,ウーマンパワー
﻿woolly cotton,ウーリーコットン
﻿woolly nylon,ウーリーナイロン
﻿week,ウィーク
﻿weekend,ウィークエンド
﻿weekday,ウィークデー
﻿weekly,ウィークリー
﻿Vienna Appeal,ウィーンアピール
﻿wick,ウィク
﻿whisky,ウィスキー
﻿wings,ウィングス
﻿winter,ウィンター
﻿window,ウィンドウ
﻿wind,ウインド
﻿weekend carpenter,ウイークエンドカーペンター
﻿weekend father,ウイークエンドファーザー
﻿weekend painter,ウイークエンドペインター
﻿weak point,ウィークポイント
﻿wizard,ウイザード
﻿whisky sour,ウイスキーサウー
﻿whisky bonbon,ウイスキーボンボン
﻿widow,ウイドー
﻿winner,ウイナー
﻿winning ball,ウイニングボール
﻿wheelie,ウィリー
﻿virus,ウイルス
﻿wink,ウインク
﻿wing,ウイング
﻿wing collar,ウイングカラー
﻿Windsor char,ウインザーチェア
﻿winter sports,ウインタースポーツ
﻿winter resort,ウインターリゾート
﻿winch,ウインチ
﻿window display,ウインドーディスプレー
﻿window dressing,ウインドードレッシング
﻿windsurfer,ウインドサーファー
﻿windsurfing,ウィンドサーフィン
﻿windfall,ウインドフォール
﻿windbreaker,ウインドブレーカー
﻿windjacket,ウインドヤッケ
﻿Vienna coffee,ウインナコーヒー
﻿Vienna sausage,ウインナソーセージ
﻿Wimbledon,ウインブルドン
﻿waiter,ウェイター
﻿wait,ウェイト
﻿waitress,ウェイトレス
﻿waiver,ウェーバー
﻿way,ウェイ
﻿West Virginia,ウェストバージニア
﻿wedding,ウエディング
﻿wafer,ウェハ
﻿web,ウェブ
﻿waiting system,ウエーティングシステム
﻿waiting room,ウエーティングルーム
﻿weight training,ウエートトレーニング
﻿weight lifting,ウエートリフティング
﻿warehouse,ウエアハウス
﻿weather,ウエザー
﻿weathercock,ウエザーコック
﻿Western,ウエスタン
﻿Western music,ウエスタンミュージック
﻿Western league,ウエスタンリーグ
﻿Westinghouse,ウエスティングハウス
﻿West End,ウエストエンド
﻿West Coast,ウエストコースト
﻿waistcoat,ウエストコート
﻿West Side,ウエストサイド
﻿waist nipper,ウエストニッパー
﻿West Point,ウエストポイント
﻿wedding,ウエッディング
﻿wet suit,ウエットスーツ
﻿wedding cake,ウェディングケーキ
﻿wedding dress,ウェディングドレス
﻿wedding veil,ウエディングベール
﻿wedding bell,ウエディングベル
﻿wedding march,ウエディングマーチ
﻿wedding ring,ウエディングリング
﻿welcome,ウェルカム
﻿walkathon,ウォーカソン
﻿walking shoes,ウォーキングシューズ
﻿walking dictionary,ウォーキングディクショナリー
﻿Walkman,ウォークマン
﻿walk rally,ウォークラリー
﻿watercolor,ウォーターカラー
﻿watercooler,ウォータークーラー
﻿water closet,ウォータークロゼット
﻿water chute,ウォーターシュート
﻿watertight,ウォータータイト
﻿water hazard,ウォーターハザード
﻿waterfall,ウォーターフォール
﻿waterfront,ウォーターフロント
﻿waterproof,ウォータープルーフ
﻿water polo,ウォーターポロ
﻿watermelon,ウォーターメロン
﻿warning lamp,ウォーニングランプ
﻿warming,ウォーミング
﻿worm,ウォーム
﻿worm gear,ウォームギア
﻿Vostok,ウォストーク
﻿vodka,ウォッカ
﻿washer,ワッシャー
﻿washable,ウォッシャブル
﻿watchdog,ウォッチドッグ
﻿watchman,ウォッチマン
﻿wanted,ウォンテット
﻿watching,ウォッチング
﻿Ukraine,ウクライナ
﻿ukulele,ウクレレ
﻿woodcraft,ウッドクラフト
﻿woodpecker,ウッドペッカー
﻿umlaut,ウムラウト
﻿Uruguay,ウルグアイ
